ACSSF,2012e1,co,000,0058,0000031,73825,25258,13407,9132,7642,1490,4275,11851,7668,7089,579,4183,34052,16573,12321,11852,469,4252,17479,9200,8299,901,8279,1469,559,502,502,0,57,910,616,528,88,294,3542,583,143,118,25,440,2959,542,462,80,2417,9504,4742,3616,2994,622,1126,4762,3493,3156,337,1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000032,75781,15394,8161,5193,4729,464,2968,7233,4519,4145,374,2714,49041,24901,22131,21782,349,2770,24140,15960,15691,269,8180,426,111,111,111,0,0,315,315,315,0,0,1941,249,65,65,0,184,1692,665,436,229,1027,8979,3493,2695,2484,211,798,5486,4130,4018,112,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000033,118875,36205,21734,15916,14049,1867,5818,14471,10887,9595,1292,3584,57343,29679,21455,19955,1500,8224,27664,18399,17342,1057,9265,1917,588,491,361,130,97,1329,1075,1029,46,254,6281,942,212,212,0,730,5339,1080,931,149,4259,17129,5381,3322,3100,222,2059,11748,8106,7342,764,3642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000034,69111,20110,12833,9549,9045,504,3284,7277,5281,4773,508,1996,35985,18851,15410,14503,907,3441,17134,10559,9945,614,6575,619,388,347,347,0,41,231,154,154,0,77,2698,522,235,199,36,287,2176,309,309,0,1867,9699,3258,2044,1990,54,1214,6441,4705,4451,254,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000035,55250,13640,7625,6602,5963,639,1023,6015,4310,3350,960,1705,30355,15973,12361,11711,650,3612,14382,9642,9405,237,4740,585,253,253,122,131,0,332,134,40,94,198,3545,636,0,0,0,636,2909,460,460,0,2449,7125,2488,1850,1806,44,638,4637,2931,2544,387,1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000036,84646,26315,14303,9188,7584,1604,5115,12012,7143,5566,1577,4869,36984,18113,10795,9932,863,7318,18871,10461,9524,937,8410,2020,736,608,608,0,128,1284,871,832,39,413,6634,1318,462,367,95,856,5316,689,689,0,4627,12693,5656,3421,2845,576,2235,7037,3945,3599,346,3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000037,90572,27702,15213,10671,9392,1279,4542,12489,9508,8956,552,2981,48522,24133,20630,19928,702,3503,24389,16078,15322,756,8311,1057,432,432,432,0,0,625,368,368,0,257,3014,757,198,198,0,559,2257,619,495,124,1638,10277,3728,3268,3101,167,460,6549,4662,4324,338,1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000038,87429,23058,12232,9590,8333,1257,2642,10826,8611,7556,1055,2215,46743,23393,19647,18797,850,3746,23350,16759,15974,785,6591,960,467,426,426,0,41,493,433,433,0,60,3376,959,480,351,129,479,2417,636,596,40,1781,13292,5492,4722,4070,652,770,7800,5383,4675,708,2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000039,88563,47372,24737,16215,14392,1823,8522,22635,15378,13569,1809,7257,30759,15751,12884,12426,458,2867,15008,9590,9356,234,5418,657,247,128,128,0,119,410,369,369,0,41,1812,180,112,112,0,68,1632,175,175,0,1457,7963,3251,2258,2218,40,993,4712,3114,3034,80,1598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000040,339727,99036,55406,40011,33242,6769,15395,43630,29664,24936,4728,13966,173959,87431,67977,65231,2746,19454,86528,51331,48290,3041,35197,6801,2519,1789,1745,44,730,4282,3435,3148,287,847,16264,4159,1534,1377,157,2625,12105,2654,2388,266,9451,43667,17578,12167,11170,997,5411,26089,18694,17074,1620,7395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
