ACSSF,2012e1,co,000,0178,0000055,35652,24613,8953,15660,11039,3768,7271,35652,12721,22931,4704,0,4704,53678,708,52970,53678,503,53175,53678,3376,50302,48974,1324,47650,53678,974,52704,53678,359,53319,119335,16061,103274,119335,15672,103663,119335,15831,103504,119335,11881,107454,119335,12996,106339,119335,9768,109567,119335,14799,104536,119335,14764,104571,119335,15188,104147
ACSSF,2012e1,co,000,0178,0000056,43387,32584,11127,21457,10803,3240,7563,43387,14367,29020,5969,0,5969,81026,2298,78728,81026,756,80270,81026,6301,74725,75057,792,74265,81026,1411,79615,81026,590,80436,188720,22089,166631,188720,21583,167137,188720,21021,167699,188720,17247,171473,188720,17986,170734,188720,14665,174055,188720,19792,168928,188720,19981,168739,188720,19491,169229
ACSSF,2012e1,co,000,0178,0000057,26664,18857,7606,11251,7807,2163,5644,26664,9769,16895,11529,37,11492,49955,1664,48291,49955,1471,48484,49955,4176,45779,38426,638,37788,49955,1596,48359,49955,680,49275,100635,8878,91757,100635,8644,91991,100635,8441,92194,100635,7176,93459,100635,7221,93414,100635,6820,93815,100635,8067,92568,100635,8163,92472,100635,7769,92866
ACSSF,2012e1,co,000,0178,0000058,39515,29334,10244,19090,10181,3496,6685,39515,13740,25775,3332,390,2942,67192,2888,64304,67192,990,66202,67192,10808,56384,63860,1287,62573,67192,2044,65148,67192,731,66461,181465,43090,138375,181465,42666,138799,181465,42518,138947,181465,39858,141607,181465,40174,141291,181465,37959,143506,181465,41324,140141,181465,41583,139882,181465,41438,140027
ACSSF,2012e1,co,000,0178,0000059,28170,21088,9729,11359,7082,1997,5085,28170,11726,16444,48107,277,47830,91107,7142,83965,91107,5836,85271,91107,13633,77474,43000,425,42575,91107,7118,83989,91107,503,90604,110108,15808,94300,110108,15533,94575,110108,14933,95175,110108,13499,96609,110108,14220,95888,110108,13098,97010,110108,14131,95977,110108,14521,95587,110108,14361,95747
ACSSF,2012e1,co,000,0178,0000060,30801,18144,6834,11310,12657,3577,9080,30801,10411,20390,17785,310,17475,57679,6354,51325,57679,625,57054,57679,9224,48455,39894,1353,38541,57679,6144,51535,57679,3519,54160,92615,13422,79193,92615,12537,80078,92615,12956,79659,92615,9393,83222,92615,10847,81768,92615,7093,85522,92615,11173,81442,92615,11266,81349,92615,11364,81251
ACSSF,2012e1,co,000,0178,0000061,37386,24730,8137,16593,12656,4123,8533,37386,12260,25126,6295,304,5991,65624,1601,64023,65624,902,64722,65624,11905,53719,59329,1547,57782,65624,865,64759,65624,814,64810,148837,17930,130907,148837,16770,132067,148837,17474,131363,148837,11473,137364,148837,13174,135663,148837,8512,140325,148837,15337,133500,148837,15452,133385,148837,15641,133196
ACSSF,2012e1,co,000,0178,0000062,26654,14535,5433,9102,12119,3506,8613,26654,8939,17715,12995,92,12903,52539,5697,46842,52539,619,51920,52539,9148,43391,39544,1421,38123,52539,5323,47216,52539,2287,50252,99115,11517,87598,99115,10899,88216,99115,11100,88015,99115,9055,90060,99115,9262,89853,99115,6492,92623,99115,10112,89003,99115,9883,89232,99115,9907,89208
ACSSF,2012e1,co,000,0178,0000063,36696,26595,8092,18503,10101,2919,7182,36696,11011,25685,6565,33,6532,51501,2620,48881,51501,188,51313,51501,4168,47333,44936,726,44210,51501,2263,49238,51501,1677,49824,107720,8992,98728,107720,8740,98980,107720,8694,99026,107720,6407,101313,107720,7174,100546,107720,5093,102627,107720,8201,99519,107720,8093,99627,107720,8018,99702
ACSSF,2012e1,co,000,0178,0000064,40859,32726,10044,22682,8133,2684,5449,40859,12728,28131,1744,0,1744,61305,1212,60093,61305,628,60677,61305,8116,53189,59561,995,58566,61305,795,60510,61305,283,61022,157454,25393,132061,157454,24889,132565,157454,25144,132310,157454,20262,137192,157454,21992,135462,157454,18986,138468,157454,23392,134062,157454,24291,133163,157454,24243,133211
