ACSSF,2012m1,co,000,0058,0000031,1934,2259,1803,1540,1318,526,1367,1345,1053,1044,307,881,2257,1133,1081,1046,300,799,1271,1139,1122,407,1186,548,356,347,347,189,69,435,381,360,105,200,759,302,117,110,40,299,666,273,245,130,596,1587,1079,950,918,442,494,977,799,816,245,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000032,3378,2158,1308,989,979,318,817,1366,1154,1142,270,795,3115,1594,1522,1481,244,593,1673,1375,1336,211,1264,265,137,137,137,189,189,261,261,261,189,189,706,208,108,108,189,180,638,473,302,365,445,1579,1005,914,928,243,461,1098,957,945,130,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000033,2486,2708,2305,1964,1829,559,1361,1872,1576,1487,620,993,3213,1835,1623,1576,634,1015,1642,1501,1556,406,1242,699,385,333,295,158,190,562,535,532,75,169,939,288,190,190,189,310,886,486,395,205,765,1921,1145,889,864,202,734,1518,1445,1359,407,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000034,1745,2162,1781,1786,1763,337,1002,1129,1062,1074,309,625,2709,1494,1493,1550,698,720,1453,1371,1355,357,1080,412,309,303,303,189,69,206,154,154,189,132,773,281,203,194,61,213,695,235,235,189,629,1554,829,746,738,89,593,1273,1168,1161,279,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000035,1917,2320,1578,1586,1550,457,360,1180,1008,819,692,683,2607,1450,1575,1514,459,806,1325,1235,1205,217,849,295,206,206,119,171,189,239,129,68,114,206,893,339,189,189,189,339,788,368,368,189,698,1637,938,889,887,70,336,1190,912,776,457,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000036,1270,2232,1635,1540,1414,507,1080,1419,1070,872,758,990,2264,1317,1124,1056,447,1070,1239,1401,1373,506,998,726,446,431,431,189,116,537,460,465,69,311,933,462,300,262,117,310,780,360,360,189,803,1530,940,805,722,331,570,1174,873,823,320,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000037,2705,3109,2336,1736,1643,515,1284,1941,1523,1548,298,1043,2878,1566,1589,1584,412,721,1618,1770,1799,563,1296,492,371,371,371,189,189,402,286,286,189,287,861,575,220,220,189,476,731,467,428,195,568,1471,773,773,790,181,314,1127,1146,1127,224,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000038,1829,2361,1508,1508,1429,597,643,1495,1497,1496,534,656,2662,1546,1481,1522,358,795,1360,1385,1382,385,1040,544,396,385,385,189,72,381,364,364,189,99,847,489,398,390,163,287,648,400,388,65,547,1587,1020,980,936,411,309,1200,1020,958,538,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000039,1622,2431,2123,1758,1840,630,1857,1679,1713,1409,712,1349,2458,1308,1267,1229,294,536,1326,1331,1343,169,876,315,204,151,151,189,130,250,240,240,189,72,527,170,145,145,189,96,506,164,164,189,461,1212,815,795,782,68,394,954,874,848,133,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000040,3324,4450,2984,2921,2690,1179,1957,2920,2451,2541,1177,1819,6354,3469,2994,2947,786,1939,3422,3226,3147,1018,2647,1688,1008,819,813,73,530,1331,1167,1155,263,604,1913,1008,599,555,196,730,1463,834,817,209,1339,3272,2043,1838,1812,524,1134,2328,2032,2041,564,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000041,3395,4290,3427,3426,3221,1274,1548,2502,2742,2678,829,1546,4437,2450,2371,2255,797,1266,2485,2263,2174,790,2165,1734,1435,1315,1269,288,554,946,829,844,266,572,1339,557,345,290,116,460,1209,598,598,112,1130,2769,1692,1413,1321,581,1153,2077,1861,1823,439,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000042,1226,5252,3312,3372,3192,1208,2438,3173,3032,3036,1339,2734,6789,4031,3591,3661,844,2033,3629,2944,2939,1055,2688,2097,1420,1218,1066,693,704,1571,1265,1250,330,922,2138,967,602,557,242,751,1606,1156,1130,159,1087,4555,3056,2240,2066,958,1902,2762,2537,2584,664,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000043,2033,2352,1521,1606,1712,613,1184,1682,1838,1773,517,1432,2979,1634,1799,1901,652,934,1576,1474,1398,611,1142,431,251,253,164,195,71,337,292,291,40,161,757,381,84,59,60,365,641,294,294,189,582,1762,1035,962,947,221,504,1154,1038,1003,256,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000044,1917,2320,1578,1586,1550,457,360,1180,1008,819,692,683,2607,1450,1575,1514,459,806,1325,1235,1205,217,849,295,206,206,119,171,189,239,129,68,114,206,893,339,189,189,189,339,788,368,368,189,698,1637,938,889,887,70,336,1190,912,776,457,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000045,1934,2259,1803,1540,1318,526,1367,1345,1053,1044,307,881,2257,1133,1081,1046,300,799,1271,1139,1122,407,1186,548,356,347,347,189,69,435,381,360,105,200,759,302,117,110,40,299,666,273,245,130,596,1587,1079,950,918,442,494,977,799,816,245,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000046,1270,2232,1635,1540,1414,507,1080,1419,1070,872,758,990,2264,1317,1124,1056,447,1070,1239,1401,1373,506,998,726,446,431,431,189,116,537,460,465,69,311,933,462,300,262,117,310,780,360,360,189,803,1530,940,805,722,331,570,1174,873,823,320,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
