ACSSF,2012e1,co,000,0018,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107775,104467,3308,,,,24687,16444,15490,954,8243,7886,357,3308,2198,1110,238,264,608
ACSSF,2012e1,co,000,0018,0000037,34714,4401,1622,234,1388,0,2779,2346,433,9174,6704,1607,3272,1825,2470,1799,671,21139,17584,13423,2715,1446,3555,3287,268,14762,8426,6336,444,1918,1168,1296,486,319,71,634,124131,109369,14762,,,,34714,13575,5986,7589,21139,16710,4429,14762,8426,6336,444,4868,1024
ACSSF,2012e1,co,000,0018,0000038,22864,3190,1343,939,334,70,1847,1469,378,4352,2589,922,1667,0,1763,1605,158,15322,12591,10392,793,1406,2731,2577,154,10833,4764,6069,656,970,1146,698,373,613,515,1098,109181,98348,10833,,,,22864,7542,4935,2607,15322,12969,2353,10833,4764,6069,656,3187,2226
ACSSF,2012e1,co,000,0018,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,8582,5521,3061,383,636,576,274,310,157,43,682,101812,93230,8582,,,,14000,3335,1250,2085,10665,8801,1864,8582,5521,3061,383,1796,882
ACSSF,2012e1,co,000,0018,0000040,97861,19105,5094,1962,2582,550,14011,11561,2450,17581,9867,7508,1061,1298,7714,6877,837,61175,48632,40988,2427,5217,12543,11738,805,38803,21787,17016,1616,2543,2540,1814,1416,898,1536,4653,431846,393043,38803,,,,97861,36686,27908,8778,61175,52726,8449,38803,21787,17016,1616,8313,7087
ACSSF,2012e1,co,000,0018,0000041,85451,19058,8595,1779,5868,948,10463,5832,4631,25291,12541,4608,6838,1095,12750,8659,4091,41102,29012,18673,5787,4552,12090,10451,1639,69031,43172,25859,4274,6273,4356,4293,2889,1506,695,1573,338835,269804,69031,,,,85451,44349,20878,23471,41102,29124,11978,69031,43172,25859,4274,17811,3774
ACSSF,2012e1,co,000,0018,0000042,132332,37498,14426,2913,9756,1757,23072,17251,5821,32785,16632,4083,8484,4065,16153,12672,3481,62049,47741,34882,6654,6205,14308,11956,2352,97763,65250,32513,4551,5960,6309,4672,2597,2170,2733,3521,634265,536502,97763,,,,132332,70283,36919,33364,62049,46838,15211,97763,65250,32513,4551,19538,8424
ACSSF,2012e1,co,000,0018,0000043,27515,3502,1354,942,118,294,2148,2072,76,5357,3727,2924,363,440,1630,1467,163,18656,16235,14579,752,904,2421,2279,142,8493,5171,3322,665,643,351,203,131,281,197,851,148634,140141,8493,,,,27515,8859,7405,1454,18656,16858,1798,8493,5171,3322,665,1328,1329
ACSSF,2012e1,co,000,0018,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70214,67507,2707,,,,16574,5909,5162,747,10665,9850,815,2707,1465,1242,57,475,710
ACSSF,2012e1,co,000,0018,0000045,21604,6395,2124,1091,397,636,4271,3491,780,6769,4772,2324,1540,908,1997,1871,126,8440,7354,4902,634,1818,1086,1086,0,10692,7146,3546,314,1142,861,351,199,162,262,255,95365,84673,10692,,,,21604,13164,8777,4387,8440,5988,2452,10692,7146,3546,314,2553,679
ACSSF,2012e1,co,000,0018,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107775,104467,3308,,,,24687,16444,15490,954,8243,7886,357,3308,2198,1110,238,264,608
ACSSF,2012e1,co,000,0018,0000047,156758,40747,15612,3644,10082,1886,25135,18827,6308,36738,19335,6342,8859,4134,17403,13922,3481,79273,61642,47723,7032,6887,17631,15003,2628,105824,69243,36581,5046,6566,6746,5150,3323,2373,2956,4421,750153,644329,105824,,,,156758,77485,42735,34750,79273,62726,16547,105824,69243,36581,5046,21785,9750
ACSSF,2012e1,co,000,0018,0000048,146510,15092,6960,4149,2066,745,8132,6519,1613,23057,14357,9474,3452,1431,8700,7107,1593,108361,92625,81169,5237,6219,15736,14623,1113,46794,24619,22175,2406,4219,3422,3312,1197,2276,1064,4279,743592,696798,46794,,,,146510,38149,27249,10900,108361,95792,12569,46794,24619,22175,2406,12150,7619
ACSSF,2012e1,co,000,0018,0000049,155991,35582,15338,11063,3470,805,20244,19422,822,37940,25044,16928,5698,2418,12896,12229,667,82469,68501,59985,2759,5757,13968,13350,618,45160,30405,14755,1102,4031,1381,2140,809,1503,961,2828,720338,675178,45160,,,,155991,73522,59642,13880,82469,73335,9134,45160,30405,14755,1102,8361,5292
ACSSF,2012e1,co,000,0018,0000050,188078,30414,11287,5150,4689,1448,19127,15258,3869,40391,29321,19532,6314,3475,11070,9660,1410,117273,99304,87946,3748,7610,17969,16465,1504,57294,38047,19247,1449,4973,3735,2544,1652,1194,1007,2693,738491,681197,57294,,,,188078,70805,49600,21205,117273,104411,12862,57294,38047,19247,1449,12904,4894
ACSSF,2012e1,co,000,0018,0000051,171339,29543,9443,6128,2601,714,20100,17650,2450,35256,21732,18283,1647,1802,13524,12616,908,106540,85426,75488,2911,7027,21114,19991,1123,55004,27408,27596,2602,4832,4041,2292,2194,2076,2180,7379,740514,685510,55004,,,,171339,64799,54677,10122,106540,95479,11061,55004,27408,27596,2602,13359,11635
