ACSSF,2012m1,co,000,0055,0000083,1769,1641,1221,1079,1066,878,543,194,1556,1462,926,122,189,189,189,189,,,,1769,1641,1221,1079,1066,989,1556,1462,926,122,189,189
ACSSF,2012m1,co,000,0055,0000084,1599,1498,1421,1190,1417,747,549,146,1175,1057,410,70,189,46,127,189,,,,1599,1498,1421,1190,1417,987,1175,1057,410,70,189,133
ACSSF,2012m1,co,000,0055,0000085,1439,1636,1346,952,1181,923,432,317,1295,1226,436,507,32,189,189,189,,,,1439,1636,1346,952,1181,1125,1295,1226,436,507,32,189
ACSSF,2012m1,co,000,0055,0000086,1935,1951,1232,1356,1145,679,368,360,1444,1309,400,237,189,189,189,189,,,,1935,1951,1232,1356,1145,814,1444,1309,400,237,189,189
ACSSF,2012m1,co,000,0055,0000087,1667,1703,1211,1032,988,579,374,30,1588,1446,778,436,179,28,121,189,,,,1667,1703,1211,1032,988,596,1588,1446,778,436,179,125
ACSSF,2012m1,co,000,0055,0000088,1508,2220,1792,1271,1291,834,813,451,1927,1814,731,332,57,189,189,189,,,,1508,2220,1792,1271,1291,1176,1927,1814,731,332,57,189
ACSSF,2012m1,co,000,0055,0000089,1454,1587,1153,994,818,768,200,324,1149,1165,643,225,189,254,189,189,,,,1454,1587,1153,994,818,861,1149,1165,643,225,189,254
ACSSF,2012m1,co,000,0055,0000090,2238,1826,1874,1141,1220,954,546,326,1579,1497,646,123,117,189,189,189,,,,2238,1826,1874,1141,1220,1143,1579,1497,646,123,117,189
ACSSF,2012m1,co,000,0055,0000091,2517,2363,1921,1101,1076,497,537,510,2222,1958,761,347,384,189,189,189,,,,2517,2363,1921,1101,1076,818,2222,1958,761,347,384,189
ACSSF,2012m1,co,000,0055,0000092,2072,1776,1501,987,847,537,349,378,1637,1688,757,291,183,80,189,189,,,,2072,1776,1501,987,847,754,1637,1688,757,291,183,80
ACSSF,2012m1,co,000,0055,0000093,2040,1956,1181,1310,1047,855,437,459,1344,1220,630,270,189,96,189,189,,,,2040,1956,1181,1310,1047,1119,1344,1220,630,270,189,96
ACSSF,2012m1,co,000,0055,0000094,2158,2001,1361,1183,1027,1111,627,435,1444,1180,892,190,153,149,189,189,,,,2158,2001,1361,1183,1027,1220,1444,1180,892,190,153,149
ACSSF,2012m1,co,000,0055,0000095,2255,2029,1407,1267,1353,916,515,539,1456,1392,300,184,189,189,189,189,,,,2255,2029,1407,1267,1353,1106,1456,1392,300,184,189,189
ACSSF,2012m1,co,000,0055,0000096,1941,1736,1308,1002,1268,761,403,519,1264,1227,381,320,189,189,189,189,,,,1941,1736,1308,1002,1268,997,1264,1227,381,320,189,189
ACSSF,2012m1,co,000,0055,0000097,2115,2457,1936,1688,1524,1105,712,757,2328,2250,710,404,179,189,189,189,,,,2115,2457,1936,1688,1524,1322,2328,2250,710,404,179,189
ACSSF,2012m1,co,000,0055,0000098,2320,2317,1829,1419,1298,864,435,297,2346,2312,1418,812,558,326,189,55,,,,2320,2317,1829,1419,1298,1011,2346,2312,1418,812,558,319
ACSSF,2012m1,co,000,0055,0000099,1702,1587,1183,1027,893,766,253,367,1038,918,382,43,189,189,189,189,,,,1702,1587,1183,1027,893,836,1038,918,382,43,189,189
ACSSF,2012m1,co,000,0055,0000100,2588,2383,1986,1943,1516,974,657,583,2132,2121,799,525,379,189,189,189,,,,2588,2383,1986,1943,1516,1354,2132,2121,799,525,379,189
ACSSF,2012m1,co,000,0055,0000101,2966,2705,2013,1565,1685,980,588,618,2408,2504,1012,401,452,80,189,189,,,,2966,2705,2013,1565,1685,1226,2408,2504,1012,401,452,80
