ACSSF,2012e1,co,000,0062,0000032,,,,,,,,,,,,,,,,,,,,87495,28318,4054,11251,7020,5993,59177,,,,,,,,,,,,,,,7364,2474,268,764,694,748,4890,,,,,,,,,,,,,,,,,,,,,,81839,25692,3328,10055,6644,5665,56147,6636,2866,726,1375,376,389,3770
ACSSF,2012e1,co,000,0062,0000033,30073,10016,659,654,1102,674,290,507,680,218,346,289,1195,666,319,975,1442,0,20057,124240,29806,2765,10146,7020,9875,94434,,,,,,,,2076,799,0,493,225,81,1277,4654,876,103,174,203,396,3778,,,,,,,,,,,,,,,4416,1904,255,888,259,502,2512,98146,20994,1633,6473,4049,8839,77152,30073,10016,1313,4106,3155,1442,20057
ACSSF,2012e1,co,000,0062,0000034,22376,8371,636,810,635,423,399,878,635,522,430,484,519,443,179,701,677,0,14005,73649,19449,2436,7604,4122,5287,54200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4348,1841,106,970,691,74,2507,,,,,,,,56858,13789,1134,4884,2971,4800,43069,22376,8371,1446,4406,1842,677,14005
ACSSF,2012e1,co,000,0062,0000035,,,,,,,,,,,,,,,,,,,,60464,14225,1552,7122,3232,2319,46239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57170,12640,1343,6058,2920,2319,44530,8630,3857,354,2219,1077,207,4773
ACSSF,2012e1,co,000,0062,0000036,53267,17076,944,1151,815,1022,1278,809,796,1205,954,1286,811,887,842,1336,2664,276,36191,77184,20045,2227,7040,4089,6689,57139,2618,719,143,222,130,224,1899,2047,807,0,330,308,169,1240,,,,,,,,,,,,,,,15403,4856,736,2204,1263,653,10547,5781,1958,181,1173,274,330,3823,44793,9954,1000,2314,1839,4801,34839,53267,17076,2095,8165,3876,2940,36191
ACSSF,2012e1,co,000,0062,0000037,35478,14009,481,495,1156,893,626,1343,1323,461,1058,318,1013,1004,1171,665,1810,192,21469,102892,33343,3220,14467,7864,7792,69549,,,,,,,,,,,,,,,6679,2757,298,1393,409,657,3922,,,,,,,,,,,,,,,2891,1083,213,612,142,116,1808,72919,20453,2383,7861,4336,5873,52466,35478,14009,976,7178,3853,2002,21469
ACSSF,2012e1,co,000,0062,0000038,20628,7248,552,423,284,758,745,701,399,215,171,611,224,407,296,244,968,250,13380,89604,21838,2782,8767,4514,5775,67766,,,,,,,,,,,,,,,6617,1514,259,488,173,594,5103,,,,,,,,3237,757,0,526,191,40,2480,4819,1803,326,704,441,332,3016,74777,16221,1954,5960,3584,4723,58556,20628,7248,975,3884,1171,1218,13380
ACSSF,2012e1,co,000,0062,0000039,,,,,,,,,,,,,,,,,,,,89951,39544,2356,5986,2283,28919,50407,,,,,,,,,,,,,,,3674,1941,0,316,68,1557,1733,,,,,,,,,,,,,,,2830,1818,0,408,83,1327,1012,83808,35799,1591,5353,1902,26953,48009,8656,5003,765,1040,535,2663,3653
ACSSF,2012e1,co,000,0062,0000040,70593,25182,1064,1603,1193,1374,1859,1876,2129,737,1389,1616,990,1194,809,1874,4842,633,45411,336506,94064,11491,34613,16259,31701,242442,27662,8947,768,3843,2055,2281,18715,,,,,,,,13108,2966,127,1066,528,1245,10142,,,,,,,,18291,4973,225,2055,1494,1199,13318,17725,9643,719,3779,2185,2960,8082,290297,76734,9389,26132,13314,27899,213563,70593,25182,2667,12173,4867,5475,45411
ACSSF,2012e1,co,000,0062,0000041,89519,33066,2544,2299,2935,3160,2457,1346,1474,2004,1527,2608,1461,1475,1660,2592,3335,189,56453,214392,55633,6812,23680,10919,14222,158759,53916,18538,1663,7952,3975,4948,35378,,,,,,,,14324,4558,177,1816,1323,1242,9766,,,,,,,,19210,6791,920,3614,1559,698,12419,17987,8484,1367,3562,2315,1240,9503,157201,35233,3959,12944,6456,11874,121968,89519,33066,4843,17511,7188,3524,56453
ACSSF,2012e1,co,000,0062,0000042,187380,63941,4622,4295,4687,3915,3664,3613,2956,3631,3410,4746,3013,3835,2711,4396,9445,1002,123439,458798,107555,14508,38007,16367,38673,351243,61564,18369,2268,6873,3824,5404,43195,5853,1953,96,969,262,626,3900,20600,4791,169,1906,545,2171,15809,,,,,,,,37119,11530,1233,6539,2025,1733,25589,20612,9385,2053,3587,1224,2521,11227,322045,61528,8298,16575,5518,31137,260517,187380,63941,8917,30622,13955,10447,123439
