ACSSF,2011e1,co,000,0018,0000054,25944,3206,1436,456,980,0,1770,1680,90,5638,3182,1753,1429,0,2456,1208,1248,17100,14498,12056,1465,977,2602,2424,178,10483,7407,3076,1177,403,517,0,121,356,502,118417,107934,10483,25944,8844,5097,3747,17100,14480,2620,10483,7407,3076,1580,638,858
ACSSF,2011e1,co,000,0018,0000055,37075,5912,1728,1281,447,0,4184,3491,693,8287,6366,4400,1487,479,1921,1921,0,22876,19553,17524,796,1233,3323,2901,422,8926,5441,3485,595,248,357,100,1084,96,1005,156462,147536,8926,37075,14199,11093,3106,22876,20425,2451,8926,5441,3485,843,1541,1101
ACSSF,2011e1,co,000,0018,0000056,,,,,,,,,,,,,,,,,,,,,,,,,,5766,2636,3130,1128,261,271,131,400,67,872,144424,138658,5766,32697,12319,11356,963,20378,18901,1477,5766,2636,3130,1389,802,939
ACSSF,2011e1,co,000,0018,0000057,23717,2302,1297,1136,161,0,1005,948,57,4405,2568,2401,83,84,1837,1675,162,17010,13881,13026,271,584,3129,3074,55,7686,4401,3285,1490,302,147,212,578,134,422,135411,127725,7686,23717,6707,6160,547,17010,16100,910,7686,4401,3285,1792,937,556
ACSSF,2011e1,co,000,0018,0000058,67349,12659,5340,1815,1870,1655,7319,6635,684,20355,15439,11161,2688,1590,4916,4473,443,34335,28588,25392,2307,889,5747,5596,151,17988,12251,5737,2058,397,1287,589,538,297,571,258638,240650,17988,67349,33014,24084,8930,34335,30988,3347,17988,12251,5737,2455,2414,868
ACSSF,2011e1,co,000,0018,0000059,30410,7554,4150,2120,1612,418,3404,2685,719,7890,5830,4272,910,648,2060,1902,158,14966,13571,11461,710,1400,1395,1395,0,13008,10640,2368,818,550,298,66,95,216,325,139863,126855,13008,30410,15444,10979,4465,14966,12856,2110,13008,10640,2368,1368,459,541
ACSSF,2011e1,co,000,0018,0000060,20678,5053,1962,1234,585,143,3091,2973,118,7475,6030,4432,870,728,1445,1362,83,8150,7254,6846,70,338,896,853,43,4354,2996,1358,298,486,124,21,59,80,290,94324,89970,4354,20678,12528,10001,2527,8150,7699,451,4354,2996,1358,784,204,370
ACSSF,2011e1,co,000,0018,0000061,34452,9055,1969,1689,108,172,7086,6848,238,9476,5438,4985,305,148,4038,4038,0,15921,12319,11390,493,436,3602,3449,153,5551,3166,2385,487,282,374,271,309,250,412,153952,148401,5551,34452,18531,17560,971,15921,14839,1082,5551,3166,2385,769,954,662
ACSSF,2011e1,co,000,0018,0000062,33513,6085,2131,1775,356,0,3954,3708,246,9612,7116,5567,817,732,2496,2168,328,17816,14923,13874,565,484,2893,2893,0,6923,4834,2089,711,259,494,158,218,40,209,169694,162771,6923,33513,15697,13218,2479,17816,16767,1049,6923,4834,2089,970,870,249
ACSSF,2011e1,co,000,0018,0000063,29941,6971,3128,734,1451,943,3843,2475,1368,6243,5059,3798,1261,0,1184,967,217,16727,14457,10840,2206,1411,2270,2131,139,17812,14337,3475,1206,620,647,120,97,64,721,140211,122399,17812,29941,13214,7974,5240,16727,12971,3756,17812,14337,3475,1826,864,785
ACSSF,2011e1,co,000,0018,0000064,,,,,,,,,,,,,,,,,,,,,,,,,,6580,2891,3689,432,741,724,242,211,385,954,112600,106020,6580,22937,4927,4627,300,18010,16050,1960,6580,2891,3689,1173,1177,1339
ACSSF,2011e1,co,000,0018,0000065,32403,4678,1520,102,1381,37,3158,2540,618,6453,3956,1383,1100,1473,2497,1751,746,21272,17398,13248,1972,2178,3874,3874,0,19248,14036,5212,2142,892,1363,111,44,124,536,135595,116347,19248,32403,11131,5776,5355,21272,17122,4150,19248,14036,5212,3034,1518,660
ACSSF,2011e1,co,000,0018,0000066,,,,,,,,,,,,,,,,,,,,,,,,,,10443,6124,4319,628,478,672,754,187,245,1355,110740,100297,10443,14864,3779,1972,1807,11085,9173,1912,10443,6124,4319,1106,1613,1600
ACSSF,2011e1,co,000,0018,0000067,,,,,,,,,,,,,,,,,,,,,,,,,,9418,5119,4299,1318,608,298,595,213,323,944,126541,117123,9418,30362,4743,3286,1457,25619,22426,3193,9418,5119,4299,1926,1106,1267
ACSSF,2011e1,co,000,0018,0000068,23511,6052,3094,1540,1287,267,2958,2623,335,3586,1686,724,962,0,1900,1699,201,13873,10454,8712,976,766,3419,3356,63,12879,6580,6299,935,1310,1247,1061,833,242,671,115241,102362,12879,23511,9638,6586,3052,13873,12068,1805,12879,6580,6299,2245,3141,913
ACSSF,2011e1,co,000,0018,0000069,40023,6818,3606,2128,1008,470,3212,1819,1393,6987,3944,1391,989,1564,3043,2097,946,26218,20538,17535,1685,1318,5680,5319,361,14899,10621,4278,1391,526,749,452,107,326,727,142037,127138,14899,40023,13805,7435,6370,26218,22854,3364,14899,10621,4278,1917,1308,1053
ACSSF,2011e1,co,000,0018,0000070,42393,10073,4966,1101,2192,1673,5107,3199,1908,11717,7346,1954,4302,1090,4371,2845,1526,20603,16400,12022,3059,1319,4203,3201,1002,27502,20271,7231,3294,894,1140,470,523,230,680,155128,127626,27502,42393,21790,9099,12691,20603,15223,5380,27502,20271,7231,4188,2133,910
ACSSF,2011e1,co,000,0018,0000071,55339,6745,3464,2437,897,130,3281,3151,130,10170,6829,4570,1807,452,3341,3122,219,38424,30221,23920,3389,2912,8203,7854,349,19899,9432,10467,3223,1876,2172,1443,569,556,628,190305,170406,19899,55339,16915,13280,3635,38424,31774,6650,19899,9432,10467,5099,4184,1184
ACSSF,2011e1,co,000,0018,0000072,28051,5981,2167,919,1083,165,3814,938,2876,11117,6972,3193,2670,1109,4145,3157,988,10953,8415,4815,2064,1536,2538,2398,140,22235,14740,7495,3037,1429,976,397,576,187,893,110817,88582,22235,28051,17098,8207,8891,10953,7213,3740,22235,14740,7495,4466,1949,1080
ACSSF,2011e1,co,000,0018,0000073,28825,9897,4710,966,3277,467,5187,2627,2560,9144,4603,239,3027,1337,4541,2307,2234,9784,7494,3586,2756,1152,2290,1684,606,34489,28269,6220,2449,597,700,192,266,1028,988,114961,80472,34489,28825,19041,6139,12902,9784,5270,4514,34489,28269,6220,3046,1158,2016
ACSSF,2011e1,co,000,0018,0000074,,,,,,,,,,,,,,,,,,,,,,,,,,10225,5277,4948,1734,634,711,271,743,107,748,117606,107381,10225,26866,5044,3888,1156,21822,18983,2839,10225,5277,4948,2368,1725,855
ACSSF,2011e1,co,000,0018,0000075,42857,12043,4124,1497,1925,702,7919,4831,3088,10937,7385,814,6336,235,3552,2024,1528,19877,15656,11576,2755,1325,4221,3681,540,28533,21147,7386,1922,2370,903,411,909,161,710,158833,130300,28533,42857,22980,9166,13814,19877,15257,4620,28533,21147,7386,4292,2223,871
ACSSF,2011e1,co,000,0018,0000076,,,,,,,,,,,,,,,,,,,,,,,,,,12998,9771,3227,1193,712,690,36,233,181,182,99207,86209,12998,15033,8223,6688,1535,6810,5348,1462,12998,9771,3227,1905,959,363
ACSSF,2011e1,co,000,0018,0000077,,,,,,,,,,,,,,,,,,,,,,,,,,6982,3405,3577,513,473,747,223,305,284,1032,107630,100648,6982,12006,1768,1322,446,10238,9202,1036,6982,3405,3577,986,1275,1316
ACSSF,2011e1,co,000,0018,0000078,29021,6338,3520,383,2646,491,2818,759,2059,6622,3402,1111,2102,189,3220,1557,1663,16061,13002,9270,1912,1820,3059,2705,354,30378,20004,10374,4032,2107,1376,487,845,238,1289,152661,122283,30378,29021,12960,3810,9150,16061,11975,4086,30378,20004,10374,6139,2708,1527
ACSSF,2011e1,co,000,0018,0000079,35252,9355,3796,806,1838,1152,5559,3549,2010,14874,10728,2056,6957,1715,4146,2601,1545,11023,7840,5260,2047,533,3183,2728,455,28931,19404,9527,2500,2421,1660,1078,861,436,571,125853,96922,28931,35252,24229,9012,15217,11023,7988,3035,28931,19404,9527,4921,3599,1007
ACSSF,2011e1,co,000,0018,0000080,,,,,,,,,,,,,,,,,,,,,,,,,,4676,2069,2607,715,753,252,173,58,24,632,113819,109143,4676,24557,8223,7569,654,16334,14545,1789,4676,2069,2607,1468,483,656
ACSSF,2011e1,co,000,0018,0000081,17954,4439,1640,931,709,0,2799,2390,409,3968,1430,1016,414,0,2538,2538,0,9547,5825,4848,683,294,3722,3440,282,8334,6515,1819,505,287,400,82,248,92,205,92323,83989,8334,17954,8407,6875,1532,9547,8288,1259,8334,6515,1819,792,730,297
ACSSF,2011e1,co,000,0018,0000082,29945,3223,865,638,0,227,2358,2283,75,4847,3270,2940,218,112,1577,1363,214,21875,18356,17139,287,930,3519,3334,185,6799,2932,3867,627,688,233,550,213,382,1174,143281,136482,6799,29945,8070,7224,846,21875,20473,1402,6799,2932,3867,1315,996,1556
ACSSF,2011e1,co,000,0018,0000083,21865,4336,680,376,195,109,3656,2452,1204,3618,1468,887,194,387,2150,1646,504,13911,10878,8804,854,1220,3033,3033,0,9975,6121,3854,1012,1066,503,31,616,80,546,103983,94008,9975,21865,7954,5361,2593,13911,11837,2074,9975,6121,3854,2078,1150,626
ACSSF,2011e1,co,000,0018,0000084,,,,,,,,,,,,,,,,,,,,,,,,,,11076,5159,5917,1669,168,1299,1062,678,594,447,148382,137306,11076,43071,3794,3268,526,39277,34251,5026,11076,5159,5917,1837,3039,1041
ACSSF,2011e1,co,000,0018,0000085,,,,,,,,,,,,,,,,,,,,,,,,,,10164,5590,4574,1208,456,388,642,614,791,475,180894,170730,10164,51332,7315,5145,2170,44017,39848,4169,10164,5590,4574,1664,1644,1266
ACSSF,2011e1,co,000,0018,0000086,,,,,,,,,,,,,,,,,,,,,,,,,,7177,1780,5397,1259,921,596,172,493,427,1529,159997,152820,7177,45595,9752,8510,1242,35843,31804,4039,7177,1780,5397,2180,1261,1956
ACSSF,2011e1,co,000,0018,0000087,18863,5328,1549,351,1198,0,3779,3779,0,3303,1658,1443,158,57,1645,1645,0,10232,8935,7975,521,439,1297,1297,0,6658,3310,3348,939,128,513,166,224,490,888,98581,91923,6658,18863,8631,7218,1413,10232,9272,960,6658,3310,3348,1067,903,1378
ACSSF,2011e1,co,000,0018,0000088,,,,,,,,,,,,,,,,,,,,,,,,,,6470,2796,3674,669,988,616,169,247,149,836,103881,97411,6470,18451,10608,9005,1603,7843,7156,687,6470,2796,3674,1657,1032,985
