ACSSF,2011e1,co,000,0175,0000032,109365,29,109336,109365,573,108792,109365,771,108594,109365,2856,106509,109365,102108,2014,100094,7257,91,7166,7831,574,0,574,7257,42,7215,,,,,,,,3469,42,3427,109365,6015,103350,106833,3449,103384,106833,15899,251,0,251,15648,90934,54562,2093,52469,54562,3011,515,2496,51551,54562,48127,3062,45065,6435,54562,50853,4509,46344,3709,54562,50853,3381,47472,3709,54562,381,54181
ACSSF,2011e1,co,000,0175,0000033,144414,238,144176,144414,2409,142005,144414,2368,142046,144414,2190,142224,144414,134319,3362,130957,10095,262,9833,11242,1147,31,1116,10095,210,9885,,,,,,,,4023,296,3727,144414,10175,134239,142327,4682,137645,142327,28944,3669,220,3449,25275,113383,73014,2725,70289,73014,4902,1402,3500,68112,73014,61959,2240,59719,11055,73014,69489,6893,62596,3525,73014,69489,5547,63942,3525,72703,703,72000
ACSSF,2011e1,co,000,0175,0000034,87695,0,87695,87695,840,86855,87695,1128,86567,87695,661,87034,87695,72154,1815,70339,15541,305,15236,16393,852,127,725,15541,488,15053,,,,,,,,3569,373,3196,87695,4817,82878,86961,2585,84376,86961,17539,981,123,858,16558,69422,43225,2631,40594,43225,4049,1248,2801,39176,43225,34935,2091,32844,8290,43225,40374,4047,36327,2851,43225,40374,4938,35436,2851,43129,248,42881
ACSSF,2011e1,co,000,0175,0000035,68203,285,67918,68203,328,67875,68203,1147,67056,68203,389,67814,68203,63916,5067,58849,4287,170,4117,4978,691,400,291,4287,170,4117,,,,,,,,1742,294,1448,68203,7052,61151,67198,6007,61191,67198,11575,2037,22,2015,9538,55623,31567,4099,27468,31567,5168,1043,4125,26399,31567,28291,4112,24179,3276,31567,29494,4941,24553,2073,31567,29494,4811,24683,2073,31567,74,31493
ACSSF,2011e1,co,000,0175,0000036,107584,97,107487,107584,1093,106491,107584,7276,100308,107584,3466,104118,107584,102743,2622,100121,4841,203,4638,6065,1224,208,1016,4841,434,4407,,,,,,,,2087,363,1724,107584,7707,99877,106494,4370,102124,106494,18582,1624,559,1065,16958,87912,42253,2323,39930,42253,2985,346,2639,39268,42253,39154,2379,36775,3099,42253,41067,5383,35684,1186,42253,41067,3519,37548,1186,41828,372,41456
ACSSF,2011e1,co,000,0175,0000037,121449,138,121311,121449,990,120459,121449,2796,118653,121449,2223,119226,121449,111434,4308,107126,10015,63,9952,11765,1750,518,1232,10015,629,9386,,,,,,,,3611,357,3254,121449,6908,114541,120002,4981,115021,120002,16044,1733,79,1654,14311,103958,59359,3518,55841,59359,5770,1897,3873,53589,59359,55645,4072,51573,3714,59359,57230,7741,49489,2129,59359,57230,5187,52043,2129,59359,1117,58242
ACSSF,2011e1,co,000,0175,0000038,107950,86,107864,107950,1604,106346,107950,1226,106724,107950,1212,106738,107950,96511,963,95548,11439,216,11223,12892,1453,57,1396,11439,820,10619,,,,,,,,5117,793,4324,107950,4180,103770,105649,2053,103596,105649,21563,2279,557,1722,19284,84086,56012,2622,53390,56012,4521,848,3673,51491,56012,48172,3062,45110,7840,56012,52874,6532,46342,3138,56012,52874,4319,48555,3138,56003,48,55955
ACSSF,2011e1,co,000,0175,0000039,98903,49,98854,98903,516,98387,98903,1892,97011,98903,840,98063,98903,89831,958,88873,9072,244,8828,10933,1861,81,1780,9072,73,8999,,,,,,,,3570,272,3298,98903,5881,93022,98030,2026,96004,98030,39186,2217,115,2102,36969,58844,53388,2407,50981,53388,2090,189,1901,51298,53388,32238,1632,30606,21150,53388,47100,5067,42033,6288,53388,47100,3434,43666,6288,51771,229,51542
ACSSF,2011e1,co,000,0175,0000040,426406,958,425448,426406,9805,416601,426406,10649,415757,426406,9808,416598,426406,392811,12628,380183,33595,2480,31115,45076,11481,514,10967,33595,3782,29813,,,,,,,,17480,3072,14408,426406,30081,396325,420732,19667,401065,420732,110477,9028,962,8066,101449,310255,194842,11529,183313,194842,14612,1542,13070,180230,194842,176058,12089,163969,18784,194842,185814,23164,162650,9028,194842,185814,18504,167310,9028,193393,1995,191398
ACSSF,2011e1,co,000,0175,0000041,332551,831,331720,332551,2644,329907,332551,3761,328790,332551,6326,326225,332551,264084,7491,256593,68467,2521,65946,72372,3905,296,3609,68467,4012,64455,,,,,,,,19512,2598,16914,332551,17112,315439,326049,14356,311693,326049,79031,6935,435,6500,72096,247018,156398,8923,147475,156398,11403,1253,10150,144995,156398,137409,8550,128859,18989,156398,151168,14603,136565,5230,156398,151168,11242,139926,5230,156086,1271,154815
