ACSSF,2011e1,co,000,0129,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0129,0000033,73720,716,5485,3413,1644,8408,4079,2125,5966,10191,14050,7321,5140,5182,29363,340,855,856,568,843,721,1247,2401,6006,9578,1208,1086,3654,10959,23,0,45,0,483,0,0,447,979,2297,4420,1874,391,18268,71,286,388,647,5943,1292,274,2174,1986,1513,1693,927,1074,8361,153,3784,433,49,648,490,242,615,846,216,0,822,63,6769,129,560,1691,380,491,1576,362,329,374,446,0,431,0
ACSSF,2011e1,co,000,0129,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0129,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0129,0000036,42880,251,2634,3286,942,5177,1445,1405,2378,4001,12264,5417,1728,1952,11843,100,221,748,0,368,505,267,730,1175,6246,460,375,648,12144,0,80,57,0,158,0,33,88,1262,3933,4519,826,1188,11146,0,183,357,267,3842,270,853,1490,1169,1906,438,255,116,3023,151,2001,169,0,129,120,36,70,136,83,0,128,0,4724,0,149,1955,675,680,550,216,0,259,96,0,144,0
ACSSF,2011e1,co,000,0129,0000037,59716,611,3672,6003,2124,7860,4617,2053,3708,7631,11394,4766,2499,2778,21057,210,1089,1723,67,1102,944,962,1447,4303,6363,831,888,1128,9917,0,0,351,0,193,160,77,260,996,2991,3294,717,878,16565,71,297,937,1393,5139,1146,541,1894,1737,1693,483,462,772,4658,235,2113,300,304,252,309,473,38,62,173,0,399,0,7519,95,173,2692,360,1174,2058,0,69,533,174,158,33,0
ACSSF,2011e1,co,000,0129,0000038,57230,798,3981,4313,1982,8610,3296,1758,3610,7755,10317,4920,3101,2789,21156,457,453,2123,291,1340,458,868,1358,4816,6518,583,576,1315,9508,0,132,30,0,343,0,48,65,1344,1958,3389,1146,1053,15747,90,168,519,1256,5678,986,707,2187,1176,1436,535,588,421,5918,251,3037,281,75,494,225,92,0,229,405,257,572,0,4901,0,191,1360,360,755,1627,43,0,190,0,156,219,0
ACSSF,2011e1,co,000,0129,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0129,0000040,189557,2329,10049,13567,4760,21583,7082,5209,12047,23305,43796,20347,12310,13173,77972,1384,2192,6099,538,2822,1509,2411,5310,13817,28623,3778,3442,6047,37009,89,120,61,70,1171,0,61,424,2711,9353,14160,4527,4262,44576,362,975,1650,2854,14189,1578,1661,5239,5368,5227,1738,1797,1938,13290,415,6099,850,207,993,509,957,809,379,158,0,1492,422,16710,79,663,4907,1091,2408,3486,119,265,1030,435,671,1052,504
ACSSF,2011e1,co,000,0129,0000041,158229,442,12316,9626,5599,21618,9456,6189,12326,19771,27180,17944,8334,7428,46609,179,1067,3482,482,1707,714,2469,6144,7513,15274,2512,1539,3527,30086,0,181,100,0,1065,757,47,284,4686,6915,11980,3084,987,44202,74,446,1711,3776,14591,2375,2336,5269,4236,3977,2064,840,2507,18715,86,10189,293,102,1426,744,1128,347,2037,339,68,1673,283,18617,103,433,4040,1239,2829,4866,209,282,1299,675,1320,1198,124
ACSSF,2011e1,co,000,0129,0000042,319442,3091,21289,16514,10445,29422,14677,10127,24660,55337,65832,38039,15956,14053,139829,1833,4206,5559,2008,4229,1904,6303,12818,34625,47099,8011,4546,6688,57400,0,35,213,0,1548,390,0,1533,9288,9913,24504,5465,4511,71052,412,942,2582,4829,19682,4506,2584,9568,9184,6770,4588,2800,2605,23058,637,15180,461,255,1069,966,969,93,961,585,53,1671,158,28103,209,926,7699,3353,2894,6911,271,648,1279,1465,883,1474,91
ACSSF,2011e1,co,000,0129,0000043,78118,1551,4266,6898,2021,8892,1696,1667,3595,10732,22284,8807,3245,2464,38293,1055,1109,3811,393,1091,389,900,1778,7303,15773,2397,732,1562,11098,0,50,0,0,291,64,0,266,813,3313,4458,1561,282,18807,150,319,1067,1335,6233,476,632,1364,2060,2711,1275,565,620,5110,212,2788,682,71,443,131,68,84,200,129,98,204,0,4810,134,0,1338,222,834,636,67,103,356,358,579,183,0
ACSSF,2011e1,co,000,0129,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
