ACSSF,2010m1,co,000,0021,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3896,279,279,123,130,706,612,2045,156,947,159,2841,175,65,2266,2292,189,493,823,103,458,837,780,300,279,952,141,71,497,279,3337
ACSSF,2010m1,co,000,0021,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4863,279,279,390,754,687,1137,1929,1165,2240,664,3645,741,539,3212,1488,414,1850,1161,151,985,671,1261,135,554,1458,574,143,357,279,4704
ACSSF,2010m1,co,000,0021,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3243,279,381,300,218,202,587,2130,225,1111,261,2717,423,153,2282,1897,279,694,1346,279,607,516,671,235,88,648,131,115,727,279,3438
ACSSF,2010m1,co,000,0021,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5368,279,510,290,409,687,791,2294,394,1379,522,2845,720,604,2549,1764,73,982,1372,152,1036,756,990,360,580,1506,283,550,492,312,6890
ACSSF,2010m1,co,000,0021,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2789,279,314,655,461,409,546,1685,532,1086,286,1722,363,529,1633,1008,242,740,847,131,816,471,997,243,279,969,329,130,427,398,3423
ACSSF,2010m1,co,000,0021,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3622,279,100,504,355,479,489,1915,254,852,653,2252,105,422,2110,1410,80,825,819,374,520,539,779,96,279,1102,608,279,318,164,2048
ACSSF,2010m1,co,000,0021,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7805,279,1859,511,1449,683,1813,3709,806,2558,836,5513,405,505,4274,2558,585,2508,2422,374,1663,1104,1567,912,388,1986,573,472,1076,170,7362
ACSSF,2010m1,co,000,0021,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5116,279,841,492,1244,703,1116,3825,925,2358,699,4609,644,628,3743,2085,413,1162,1688,733,1265,615,1513,231,1189,1499,693,762,1079,305,5306
ACSSF,2010m1,co,000,0021,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680,279,230,283,668,1298,1090,2424,679,1150,836,2954,328,577,2266,1221,395,1894,1019,176,574,437,875,153,149,1626,815,606,923,487,3094
ACSSF,2010m1,co,000,0021,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3118,279,279,147,555,431,781,1201,145,669,169,2715,279,88,1712,915,155,1651,903,113,528,318,680,143,554,1113,294,279,208,279,3193
