ACSSF,2010m1,co,000,0055,0000024,,,,,,,,,,,,,,,,,,,,3038,2126,584,299,503,426,515,549,581,498,615,423,403,428,409,652,1241,381,2673,3021,1390,402,140,209,156,330,338,280,88,221,110,226,284,294,162,568,279,1988,795,482,303,222,139,270,494,3038,2126,669,1698,957,1198,2673,3021,1390,433,771,501,568,1988
ACSSF,2010m1,co,000,0055,0000025,3419,2365,344,533,443,231,330,218,517,412,252,330,477,471,342,154,563,643,1687,5426,3064,621,525,982,602,662,584,572,530,528,665,349,704,429,575,1316,709,4606,5151,3050,656,634,965,646,929,833,818,733,962,789,518,583,519,790,1185,390,3744,3419,2365,745,1256,1044,881,1687,5426,3064,735,1901,938,1493,4606,5151,3050,859,2087,1093,1205,3744
ACSSF,2010m1,co,000,0055,0000026,,,,,,,,,,,,,,,,,,,,2565,2522,490,231,182,279,366,409,252,448,343,211,240,164,245,395,2342,1598,3077,,,,,,,,,,,,,,,,,,,,1576,727,232,395,118,578,1152,2565,2522,569,1106,580,2583,3077,2176,1185,224,615,710,581,1606
ACSSF,2010m1,co,000,0055,0000027,,,,,,,,,,,,,,,,,,,,2742,2058,464,226,436,699,676,439,487,418,629,429,633,685,652,456,897,741,2560,,,,,,,,,,,,,,,,,,,,706,443,204,257,224,123,515,2742,2058,491,1513,1133,1244,2560,2139,1154,540,680,205,387,1354
ACSSF,2010m1,co,000,0055,0000028,3505,2479,381,528,484,459,601,364,469,231,520,622,375,140,239,344,1141,156,1775,3811,3523,882,853,874,806,849,709,1177,844,728,734,991,852,879,1028,2175,1107,3735,3772,2565,632,644,508,890,734,852,541,365,602,682,370,500,627,580,1198,201,2491,3505,2479,666,1631,680,1171,1775,3811,3523,1170,2077,1463,2369,3735,3772,2565,909,1607,961,1218,2491
ACSSF,2010m1,co,000,0055,0000029,2890,1919,311,224,693,240,311,477,317,489,170,182,194,363,195,130,517,357,1864,1134,3508,1051,732,687,572,612,529,471,471,420,544,672,341,459,717,2699,2143,3092,1133,2440,1085,1030,1078,766,1114,965,869,830,957,867,825,927,1044,1063,1308,579,2311,2890,1919,391,1401,549,639,1864,1134,3508,1107,988,842,3357,3092,1133,2440,1392,1371,1471,1415,2311
ACSSF,2010m1,co,000,0055,0000030,,,,,,,,,,,,,,,,,,,,2927,3017,1232,355,500,509,615,489,497,418,523,450,426,507,697,662,2122,999,3421,,,,,,,,,,,,,,,,,,,,1148,831,131,694,427,279,594,2927,3017,1276,1510,999,2243,3421,2499,1641,304,834,692,892,1421
ACSSF,2010m1,co,000,0055,0000031,,,,,,,,,,,,,,,,,,,,3408,1781,487,716,513,329,214,455,567,245,255,242,402,580,355,447,1160,475,2890,3297,1940,465,477,127,293,484,697,482,506,585,509,360,220,374,666,440,120,2559,954,734,157,498,168,353,416,3408,1781,860,1031,907,1313,2890,3297,1940,659,1469,907,476,2559
ACSSF,2010m1,co,000,0055,0000032,,,,,,,,,,,,,,,,,,,,4253,2383,612,505,576,813,462,575,471,679,470,491,542,524,545,730,812,693,3129,,,,,,,,,,,,,,,,,,,,,,,,,,,4253,2383,824,1884,1287,1031,3129,1729,993,130,619,352,636,1114
ACSSF,2010m1,co,000,0055,0000033,,,,,,,,,,,,,,,,,,,,3810,2097,541,583,251,332,183,370,407,382,330,354,343,426,351,530,1321,364,3404,3259,1780,414,415,459,424,315,487,562,395,245,414,498,357,340,357,740,280,2397,1287,1128,325,488,320,644,407,3810,2097,867,1118,896,1264,3404,3259,1780,527,1194,735,849,2397
ACSSF,2010m1,co,000,0055,0000034,,,,,,,,,,,,,,,,,,,,2758,1572,507,377,268,248,347,434,340,554,326,389,266,407,398,258,641,350,2266,2573,1580,339,329,478,341,403,423,179,287,610,331,609,55,194,510,438,77,1735,947,562,256,338,296,120,592,2758,1572,675,1152,672,796,2266,2573,1580,448,1078,814,449,1735
ACSSF,2010m1,co,000,0055,0000035,,,,,,,,,,,,,,,,,,,,2676,1926,513,423,633,539,402,545,420,529,205,359,336,243,313,485,904,276,2506,,,,,,,,,,,,,,,,,,,,,,,,,,,2676,1926,624,1390,581,970,2506,2667,1876,510,1402,493,956,1291
ACSSF,2010m1,co,000,0055,0000036,,,,,,,,,,,,,,,,,,,,2284,1641,346,542,382,530,375,370,376,163,284,328,354,309,277,337,1134,510,2328,2113,1647,782,492,643,612,457,485,631,464,244,798,451,559,350,565,925,325,1871,1830,1103,107,703,703,365,1024,2284,1641,638,733,589,1176,2328,2113,1647,940,1089,822,901,1871
ACSSF,2010m1,co,000,0055,0000037,,,,,,,,,,,,,,,,,,,,4438,2281,455,534,320,513,692,614,536,567,429,568,626,325,474,637,1042,289,3432,4562,2428,542,603,626,475,414,419,856,562,372,291,490,649,322,291,858,110,2820,1038,510,71,441,253,128,743,4438,2281,737,1481,1146,1088,3432,4562,2428,872,1510,1003,866,2820
